Driver;Entraineur;Distance;Recul;Autostart;Deferre;Age;Sexe;Place;Gagnant;Favori;Outsider;Hippodrome;Date
F. Nivard;NON;2100;NON;OUI;OUI;8;M;NON;NON;OUI;NON;VINCENNES;
Ch.J. Bigeon;OUI;2100;NON;OUI;NON;6;M;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2100;NON;OUI;OUI;8;F;NON;NON;NON;NON;VINCENNES;
Ch.J. Bigeon;OUI;2100;NON;OUI;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2100;NON;OUI;OUI;6;F;OUI;NON;OUI;NON;VINCENNES;
J.M. Bazire;NON;2100;NON;OUI;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
T. Le Beller;NON;2100;NON;OUI;OUI;6;F;NON;NON;NON;NON;VINCENNES;
D. Locqueneux;NON;2100;NON;OUI;NON;6;F;NON;NON;NON;NON;VINCENNES;
J.L.Cl. Derso;NON;2700;NON;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
S. Baude;OUI;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
