Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,NON, ,, ,MEDIUM,,NON,H,LONG,MARTENS,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,GUELPA,VINCENNES,3 JANVIER 2015
OUI,NON,NON, ,, ,MEDIUM,,OUI,M,LONG,,VINCENNES,3 JANVIER 2015
OUI,NON,OUI, ,, ,MEDIUM,,OUI,H,LONG,,VINCENNES,3 JANVIER 2015
OUI,NON,OUI, ,, ,JEUNE,,NON,M,LONG,,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,JEUNE,,NON,H,LONG,,VINCENNES,3 JANVIER 2015
OUI,NON,OUI, ,, ,JEUNE,,NON,H,LONG,,VINCENNES,3 JANVIER 2015
OUI,NON,NON, ,, ,JEUNE,,NON,M,LONG,,VINCENNES,3 JANVIER 2015
OUI,NON,OUI, ,, ,JEUNE,,OUI,M,LONG,DERIEUX,VINCENNES,3 JANVIER 2015
NON,NON,NON, ,, ,MEDIUM,,NON,H,LONG,,VINCENNES,3 JANVIER 2016
NON,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,,VINCENNES,3 JANVIER 2016
NON,NON,NON, ,, ,MEDIUM,,OUI,F,LONG,,VINCENNES,3 JANVIER 2016
NON,NON,OUI, ,, ,MEDIUM,,OUI,H,LONG,,VINCENNES,3 JANVIER 2016
NON,NON,NON, ,, ,MEDIUM,,OUI,M,LONG,,VINCENNES,3 JANVIER 2016
OUI,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,,VINCENNES,3 JANVIER 2016
NON,NON,NON, ,, ,MEDIUM,,NON,H,LONG,MARTENS,VINCENNES,3 JANVIER 2016
NON,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,GUELPA,VINCENNES,3 JANVIER 2016
OUI,NON,NON, ,, ,MEDIUM,,OUI,M,LONG,,VINCENNES,3 JANVIER 2016
OUI,NON,OUI, ,, ,MEDIUM,,OUI,H,LONG,,VINCENNES,3 JANVIER 2016
OUI,OUI,NON,OUI,,NON,MEDIUM,,NON,H,COURT,NIVARD,VINCENNES,3 JANVIER 2016
OUI,OUI,OUI,OUI,,NON,MEDIUM,,NON,H,COURT,BAZIRE,VINCENNES,3 JANVIER 2016
NON,OUI,OUI,NON,,OUI,MEDIUM,,NON,M,COURT,,VINCENNES,3 JANVIER 2016
NON,OUI,OUI,NON,,OUI,MEDIUM,,NON,F,COURT,MARTENS,VINCENNES,3 JANVIER 2016
NON,OUI,OUI,NON,,OUI,MEDIUM,,OUI,F,COURT,,VINCENNES,3 JANVIER 2016
OUI,OUI,OUI,NON,,NON,MEDIUM,,NON,H,COURT,,VINCENNES,3 JANVIER 2016
NON,OUI,OUI,OUI,,NON,MEDIUM,,NON,H,COURT,NIVARD,VINCENNES,3 JANVIER 2016
OUI,OUI,OUI,NON,,OUI,MEDIUM,,OUI,H,COURT,,VINCENNES,3 JANVIER 2016
NON,OUI,NON,NON,,OUI,MEDIUM,,OUI,H,COURT,BIGEON,VINCENNES,3 JANVIER 2016
NON,OUI,OUI,NON,,OUI,VIEUX,,OUI,M,COURT,,VINCENNES,3 JANVIER 2016
NON,NON,NON,NON,,OUI,MEDIUM,,NON,H,COURT,,VINCENNES,3 JANVIER 2016
OUI,NON,OUI,NON,,OUI,MEDIUM,,NON,H,COURT,,VINCENNES,3 JANVIER 2016
NON,NON,OUI,NON,,NON,MEDIUM,,NON,H,COURT,,VINCENNES,3 JANVIER 2016
NON,NON,OUI,NON,,NON,MEDIUM,,NON,H,COURT,RAFFIN,VINCENNES,3 JANVIER 2016
OUI,NON,OUI,NON,,NON,MEDIUM,,NON,M,COURT,NIVARD,VINCENNES,3 JANVIER 2016
OUI,NON,NON, ,, ,MEDIUM,,NON,H,LONG,,VINCENNES,3 JANVIER 2016
NON,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,VERCRUYSSE,VINCENNES,3 JANVIER 2016
NON,NON,NON, ,, ,MEDIUM,,NON,F,LONG,,VINCENNES,3 JANVIER 2016
OUI,NON,NON, ,, ,MEDIUM,,OUI,H,LONG,,VINCENNES,3 JANVIER 2016
OUI,NON,OUI, ,, ,MEDIUM,,OUI,H,LONG,,VINCENNES,3 JANVIER 2016
NON,NON,OUI, ,, ,JEUNE,,NON,M,LONG,MARTENS,VINCENNES,3 JANVIER 2017
